vowels,lyrics
<bos> uaa e <eos>,<bos> くだら ねえ <eos>
<bos> e iu <eos>,<bos> ねえ いつ <eos>
<bos> iu i <eos>,<bos> いつ に <eos>
<bos> i aa <eos>,<bos> に なりゃ <eos>
<bos> aa oau <eos>,<bos> なりゃ 終わる <eos>
<bos> ana ii <eos>,<bos> なんか 死に <eos>
<bos> ii e <eos>,<bos> 死に て <eos>
<bos> e e <eos>,<bos> て え <eos>
<bos> e ioi <eos>,<bos> え 気持ち <eos>
<bos> ioi e <eos>,<bos> 気持ち で <eos>
<bos> e uaua <eos>,<bos> で ブラブラ <eos>
<bos> uaua ua <eos>,<bos> ブラブラ ブラ <eos>
<bos> ua anen <eos>,<bos> ブラ 残念 <eos>
<bos> anen eae <eos>,<bos> 残念 手前 <eos>
<bos> eae a <eos>,<bos> 手前 じゃ <eos>
<bos> a oai <eos>,<bos> じゃ 所在 <eos>
<bos> oai e <eos>,<bos> 所在 ね <eos>
<bos> e e <eos>,<bos> ね え <eos>
<bos> o a <eos>,<bos> の パー <eos>
<bos> a u <eos>,<bos> パー う <eos>
<bos> u e <eos>,<bos> う ぜ <eos>
<bos> e e <eos>,<bos> ぜ え <eos>
<bos> e a <eos>,<bos> え じゃ <eos>
<bos> a au <eos>,<bos> じゃ らく <eos>
<bos> au e <eos>,<bos> らく へ <eos>
<bos> e a <eos>,<bos> へ た <eos>
<bos> a ao <eos>,<bos> た タコ <eos>
<bos> ao a <eos>,<bos> タコ が <eos>
<bos> a at <eos>,<bos> が やっ <eos>
<bos> at e <eos>,<bos> やっ て <eos>
<bos> e an <eos>,<bos> て らん <eos>
<bos> an e <eos>,<bos> らん ね <eos>
<bos> e e <eos>,<bos> ね え <eos>
<bos> e oa <eos>,<bos> え 与太 <eos>
<bos> oa ui <eos>,<bos> 与太 吹き <eos>
<bos> ui uaua <eos>,<bos> 吹き ブラブラ <eos>
<bos> uaua ua <eos>,<bos> ブラブラ ブラ <eos>
<bos> ua auen <eos>,<bos> ブラ 悪銭 <eos>
<bos> auen aae <eos>,<bos> 悪銭 抱え <eos>
<bos> aae oo <eos>,<bos> 抱え どこ <eos>
<bos> oo e <eos>,<bos> どこ へ <eos>
<bos> e iu <eos>,<bos> へ 行く <eos>
<bos> o a <eos>,<bos> の パー <eos>
<bos> ito onaaat <eos>,<bos> ちっと こんがらがっ <eos>
<bos> onaaat e <eos>,<bos> こんがらがっ て <eos>
<bos> e e <eos>,<bos> て 目 <eos>
<bos> e a <eos>,<bos> 目 が <eos>
<bos> a uan <eos>,<bos> が 眩ん <eos>
<bos> uan a <eos>,<bos> 眩ん だ <eos>
<bos> a ae <eos>,<bos> だ だけ <eos>
<bos> ae a <eos>,<bos> だけ な <eos>
<bos> a n <eos>,<bos> な ん <eos>
<bos> n a <eos>,<bos> ん だ <eos>
<bos> a a <eos>,<bos> だ わ <eos>
<bos> ona etai <eos>,<bos> そんな けったい <eos>
<bos> etai a <eos>,<bos> けったい な <eos>
<bos> a oo <eos>,<bos> な こと <eos>
<bos> oo ata <eos>,<bos> こと ばっか <eos>
<bos> ata ia <eos>,<bos> ばっか 言わ <eos>
